Ngram,Data,Partia
Niesioł siad,29-08-2008 09:00,PIS
Banda matołów,16-10-2008 10:19,RP
Nie chcę już nic.,11-09-2008 20:55,PO
Polska jest be,08-11-2008 15:15,SLD
Żądam sprawiedliwości!,26-05-2008 10:14,PO
Polska jest be,07-05-2008 17:46,PSL
Żądam sprawiedliwości!,02-12-2008 07:01,PO
Polska jest super,08-03-2008 23:30,SLD
Gdzie jest krzyż,27-11-2008 02:51,PIS
Żądam sprawiedliwości!,18-09-2008 23:09,SLD
Gdzie jest krzyż,16-07-2008 18:30,PSL
Polska jest super,10-12-2008 11:32,PSL
Niesioł siad,09-12-2008 18:43,PSL
Żądam sprawiedliwości!,24-02-2008 11:56,PO
Niesioł siad,10-08-2008 12:11,RP
Polska jest be,28-12-2008 16:29,RP
Balcerowicz musi odejść,01-02-2008 12:49,PSL
Niesioł siad,03-04-2008 15:49,SLD
Banda matołów,03-04-2008 21:28,PO
Żądam sprawiedliwości!,16-10-2008 02:08,SLD
Polska jest super,15-03-2008 20:20,PSL
Nie chcę już nic.,06-02-2008 20:30,PSL
Niesioł siad,26-05-2008 23:21,PO
Żądam sprawiedliwości!,11-03-2008 23:12,PSL
Banda matołów,17-05-2008 15:35,PSL
Gdzie jest krzyż,30-09-2008 13:27,PO
Żądam sprawiedliwości!,29-04-2008 08:07,RP
Gdzie jest krzyż,28-10-2008 15:35,PSL
Balcerowicz musi odejść,24-09-2008 09:34,PSL
Balcerowicz musi odejść,17-07-2008 11:48,PO
Balcerowicz musi odejść,02-05-2008 07:35,SLD
Niesioł siad,18-04-2008 11:19,PSL
Niesioł siad,05-07-2008 04:07,SLD
Niesioł siad,11-02-2008 22:25,SLD
Balcerowicz musi odejść,19-01-2008 11:49,SLD
Gdzie jest krzyż,09-12-2008 12:34,SLD
Żądam sprawiedliwości!,05-12-2008 02:52,PSL
Balcerowicz musi odejść,17-10-2008 14:22,PSL
Żądam sprawiedliwości!,04-05-2008 21:02,SLD
Banda matołów,25-10-2008 10:36,RP
Żądam sprawiedliwości!,23-12-2008 23:44,RP
Polska jest super,18-11-2008 19:10,PSL
Balcerowicz musi odejść,29-07-2008 15:43,PO
Żądam sprawiedliwości!,04-01-2008 01:40,PO
Banda matołów,28-06-2008 22:01,PSL
Banda matołów,04-01-2008 02:19,PIS
Banda matołów,03-04-2008 14:08,SLD
Gdzie jest krzyż,01-06-2008 22:38,PIS
Balcerowicz musi odejść,18-02-2008 15:20,PIS
Balcerowicz musi odejść,20-02-2008 00:48,PIS
Banda matołów,30-06-2008 23:15,PSL
Żądam sprawiedliwości!,06-02-2008 09:50,PSL
Polska jest be,17-05-2008 22:39,RP
Gdzie jest krzyż,08-09-2008 10:11,PSL
Niesioł siad,13-12-2008 14:39,PIS
Balcerowicz musi odejść,02-09-2008 02:46,SLD
Gdzie jest krzyż,26-03-2008 19:34,RP
Polska jest super,13-09-2008 21:59,SLD
Balcerowicz musi odejść,28-11-2008 06:36,PIS
Niesioł siad,21-06-2008 23:24,PIS
Nie chcę już nic.,19-10-2008 12:13,RP
Polska jest super,05-12-2008 21:20,PO
Polska jest be,06-10-2008 04:23,PSL
Polska jest super,07-12-2008 10:18,PIS
Niesioł siad,12-04-2008 20:48,PIS
Banda matołów,06-10-2008 00:34,SLD
Polska jest be,06-09-2008 15:24,PIS
Gdzie jest krzyż,05-11-2008 11:38,PO
Nie chcę już nic.,07-09-2008 00:21,PO
Gdzie jest krzyż,19-01-2008 03:17,PO
Banda matołów,02-07-2008 05:58,PSL
Polska jest super,22-03-2008 20:31,PIS
Polska jest super,24-11-2008 17:21,RP
Gdzie jest krzyż,12-09-2008 23:48,PSL
Polska jest be,07-10-2008 22:35,RP
Polska jest be,30-07-2008 07:54,PO
Polska jest super,30-12-2008 12:38,PSL
Niesioł siad,07-07-2008 12:08,RP
Banda matołów,26-05-2008 09:58,SLD
Polska jest be,03-07-2008 18:38,SLD
Balcerowicz musi odejść,21-09-2008 18:14,PO
Żądam sprawiedliwości!,01-07-2008 16:57,PO
Niesioł siad,18-01-2008 19:39,PIS
Żądam sprawiedliwości!,15-06-2008 22:40,RP
Polska jest super,06-07-2008 05:18,PO
Gdzie jest krzyż,11-05-2008 17:30,SLD
Banda matołów,11-06-2008 06:38,PIS
