mysql> select ngram, count(*) as zliczenie from wystapienia.ngrams group by ngram order by zliczenie desc limit 400;
+---------------------------+-----------+
| ngram                     | zliczenie |
+---------------------------+-----------+
| w                         |    216754 |
| i                         |    129985 |
| na                        |     99769 |
| z                         |     98506 |
| to                        |     95653 |
| nie                       |     90691 |
| do                        |     83410 |
| że                        |     81604 |
| o                         |     81515 |
| jest                      |     78133 |
| się                       |     77396 |
| bardzo                    |     38790 |
| panie                     |     36335 |
| a                         |     34832 |
| tym                       |     33840 |
| dziękuję                  |     32556 |
| czy                       |     31457 |
| –                         |     31413 |
| pan                       |     29837 |
| tego                      |     29053 |
| poseł                     |     28662 |
| jak                       |     24774 |
| są                        |     23717 |
| tak                       |     23471 |
| które                     |     23035 |
| za                        |     22581 |
| tej                       |     22029 |
| ustawy                    |     22023 |
| przez                     |     21405 |
| ale                       |     20720 |
| co                        |     20424 |
| pani                      |     20150 |
| ma                        |     19598 |
| proszę                    |     18899 |
| będzie                    |     18848 |
| po                        |     18734 |
| od                        |     18432 |
| dla                       |     18286 |
| r                         |     16800 |
| bo                        |     16104 |
| tych                      |     14682 |
| dziękuję bardzo           |     14366 |
| te                        |     14253 |
| ten                       |     14211 |
| już                       |     14061 |
| tylko                     |     13840 |
| pytanie                   |     13453 |
| marszałku                 |     13222 |
| panie marszałku           |     13182 |
| głos                      |     13051 |
| pan poseł                 |     12856 |
| też                       |     12723 |
| oklaski                   |     12702 |
| wysoka                    |     12656 |
| pana                      |     12597 |
| to jest                   |     12255 |
| izbo                      |     12168 |
| wysoka izbo               |     12154 |
| może                      |     11863 |
| oraz                      |     11834 |
| również                   |     11766 |
| być                       |     11756 |
| państwa                   |     11701 |
| w tym                     |     11414 |
| żeby                      |     11403 |
| chodzi                    |     11276 |
| także                     |     10650 |
| było                      |     10604 |
| komisji                   |     10568 |
| który                     |     10534 |
| posłów                    |     10523 |
| minister                  |     10202 |
| roku                      |     10186 |
| chodzi o                  |      9685 |
| pośle                     |      9672 |
| państwo                   |      9660 |
| panie pośle               |      9631 |
| jeżeli                    |      9236 |
| jeszcze                   |      9216 |
| ministrze                 |      9141 |
| jeśli                     |      9055 |
| panie ministrze           |      9046 |
| prawo                     |      8879 |
| dzisiaj                   |      8873 |
| ze                        |      8845 |
| projektu                  |      8531 |
| ustawy o                  |      8517 |
| pracy                     |      8515 |
| projekt                   |      8339 |
| więc                      |      8256 |
| zł                        |      8250 |
| aby                       |      8222 |
| nad                       |      8214 |
| sali                      |      8051 |
| jest to                   |      7839 |
| bardzo proszę             |      7701 |
| ta                        |      7619 |
| będą                      |      7579 |
| która                     |      7561 |
| w tej                     |      7551 |
| mam                       |      7462 |
| 1                         |      7338 |
| kto                       |      7310 |
| europejskiej              |      7263 |
| art                       |      7234 |
| nie ma                    |      7222 |
| lat                       |      7215 |
| jako                      |      7115 |
| można                     |      7083 |
| mamy                      |      7013 |
| ich                       |      6975 |
| polsce                    |      6932 |
| chciałbym                 |      6892 |
| sposób                    |      6843 |
| marszałek                 |      6805 |
| unii                      |      6792 |
| związku                   |      6752 |
| marszałku wysoka          |      6714 |
| panie marszałku wysoka    |      6711 |
| marszałku wysoka izbo     |      6710 |
| ministra                  |      6674 |
| rząd                      |      6644 |
| osób                      |      6513 |
| sprawie                   |      6422 |
| takie                     |      6388 |
| oczywiście                |      6384 |
| przy                      |      6374 |
| tutaj                     |      6357 |
| polski                    |      6344 |
| w polsce                  |      6339 |
| prawa                     |      6334 |
| klubu                     |      6245 |
| o tym                     |      6164 |
| w związku                 |      6156 |
| czyli                     |      6108 |
| którzy                    |      6105 |
| polska                    |      6102 |
| dlatego                   |      6006 |
| kiedy                     |      5999 |
| związku z                 |      5979 |
| w związku z               |      5930 |
| że w                      |      5847 |
| panu                      |      5829 |
| nie jest                  |      5820 |
| unii europejskiej         |      5754 |
| pytania                   |      5710 |
| z tym                     |      5707 |
| pani poseł                |      5605 |
| zakresie                  |      5565 |
| jednak                    |      5560 |
| powiedzieć                |      5558 |
| właśnie                   |      5524 |
| 5                         |      5521 |
| natomiast                 |      5492 |
| których                   |      5492 |
| były                      |      5460 |
| był                       |      5446 |
| trzeba                    |      5413 |
| 2                         |      5397 |
| się do                    |      5372 |
| tu                        |      5319 |
| posła                     |      5254 |
| mają                      |      5223 |
| pani marszałek            |      5132 |
| pod                       |      5093 |
| spraw                     |      5085 |
| prawo i                   |      5063 |
| do tego                   |      5048 |
| sprawiedliwość            |      5025 |
| innych                    |      4996 |
| na to                     |      4984 |
| była                      |      4979 |
| i sprawiedliwość          |      4962 |
| prawo i sprawiedliwość    |      4956 |
| uwagę                     |      4948 |
| mln                       |      4888 |
| jakie                     |      4847 |
| się w                     |      4834 |
| sejm                      |      4802 |
| przed                     |      4799 |
| środków                   |      4778 |
| polskiej                  |      4743 |
| tę                        |      4736 |
| dzwonek                   |      4717 |
| jeśli chodzi              |      4713 |
| poprawki                  |      4696 |
| nr                        |      4682 |
| tys                       |      4653 |
| jeśli chodzi o            |      4615 |
| przypadku                 |      4601 |
| wszystkim                 |      4579 |
| lub                       |      4505 |
| sobie                     |      4484 |
| bardzo oklaski            |      4482 |
| dziękuję bardzo oklaski   |      4457 |
| dlaczego                  |      4398 |
| rządu                     |      4386 |
| w sprawie                 |      4360 |
| wszystkich                |      4346 |
| polskiego                 |      4341 |
| 3                         |      4339 |
| zmiany                    |      4300 |
| niż                       |      4298 |
| projektu ustawy           |      4295 |
| pana posła                |      4284 |
| sytuacji                  |      4264 |
| nawet                     |      4214 |
| by                        |      4204 |
| imieniu                   |      4193 |
| to że                     |      4163 |
| naprawdę                  |      4147 |
| czas                      |      4146 |
| nas                       |      4110 |
| 2012                      |      4107 |
| w imieniu                 |      4062 |
| ja                        |      4039 |
| jego                      |      4011 |
